rank,release_date,movie,category,categoryNice,start_value,production_budget,domestic_gross,worldwide_gross,rating_imdb,rating_rt,approx_income,approx_expense,profit
1,12/18/2009,Avatar,biggest_budgets,Biggest budgets,0,425000000,760507625,2783918982,7.9,7.5,,,
2,12/18/2015,Star Wars Ep. VII: The Force Awakens,biggest_budgets,Biggest budgets,0,306000000,936662225,2058662225,8.2,8.2,,,
3,05/24/2007,Pirates of the Caribbean: At World's End,biggest_budgets,Biggest budgets,0,300000000,309420425,963420425,7.1,5.5,,,
4,11/06/15,Spectre,biggest_budgets,Biggest budgets,0,300000000,200074175,879620923,6.8,6.4,,,
5,07/02/13,The Lone Ranger,biggest_budgets,Biggest budgets,0,275000000,89302115,260002115,6.5,4.8,,,
6,03/09/12,John Carter,biggest_budgets,Biggest budgets,0,275000000,73058679,282778100,6.6,5.7,,,
7,07/20/2012,The Dark Knight Rises,biggest_budgets,Biggest budgets,0,275000000,448139099,1084439099,8.4,8,,,
8,11/24/2010,Tangled,biggest_budgets,Biggest budgets,0,260000000,200821936,586581936,7.8,7.5,,,
9,05/04/07,Spider-Man 3,biggest_budgets,Biggest budgets,0,258000000,336530303,890875303,6.2,6.2,,,
10,07/15/2009,Harry Potter and the Half-Blood Prince,biggest_budgets,Biggest budgets,0,250000000,301959197,935083686,7.5,7.2,,,
11,12/14/2012,The Hobbit: An Unexpected Journey,biggest_budgets,Biggest budgets,0,250000000,303003568,1017003568,7.9,6.5,,,
12,05/20/2011,Pirates of the Caribbean: On Stranger Tides,biggest_budgets,Biggest budgets,0,250000000,241063875,1045663875,6.7,5,,,
13,12/13/2013,The Hobbit: The Desolation of Smaug,biggest_budgets,Biggest budgets,0,250000000,258366855,960366855,7.9,6.8,,,
14,12/17/2014,The Hobbit: The Battle of the Five Armies,biggest_budgets,Biggest budgets,0,250000000,255119788,955119788,7.5,6.2,,,
15,05/01/15,Avengers: Age of Ultron,biggest_budgets,Biggest budgets,0,250000000,459005868,1404705868,7.5,6.7,,,
16,03/25/2016,Batman v Superman: Dawn of Justice,biggest_budgets,Biggest budgets,0,250000000,330360194,868160194,6.9,4.9,,,
17,05/06/16,Captain America: Civil War,biggest_budgets,Biggest budgets,0,250000000,407849958,1151449958,8.1,7.6,,,
18,06/28/2006,Superman Returns,biggest_budgets,Biggest budgets,0,232000000,200120000,374085065,6.1,7,,,
