id,rank,release_date,movie,category,categoryNice,genres,genre_main,image,link,start_value,production_budget,domestic_gross,worldwide_gross,profit,rating_imdb,rating_rt,rating_higher_imdb,rating_higher_rt,rating_lower_imdb,rating_lower_rt,rating_higher,rating_lower,rating_outlier_between
1,1,2009-12-18,Avatar,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,avatar.jpg,http://www.imdb.com/title/tt0499549/?ref_=nv_sr_1,0,483195454,864644298,3165122342,2681926888,7.8,7.5,0,0,0,0,0,0,0
3,2,2007-05-24,Pirates of the Caribbean: At World's End,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,piratesofthecaribbeanatworldsend.jpg,http://www.imdb.com/title/tt0449088/?ref_=nv_sr_4,0,354200790,365323196,1137480918,783280128,7.1,5.5,0,0,0,0,0,0,0
1268,3,1963-06-12,Cleopatra,biggest_budgets,Biggest budgets,"Biography, Drama, History",Biography,cleopatra.jpg,http://www.rottentomatoes.com/m/1004330-cleopatra/,0,336986863,457339314,569668268,232681405,7,5.9,0,0,0,0,0,0,0
2,4,2015-12-18,Star Wars Ep. VII: The Force Awakens,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,starwarsepviitheforceawakens.jpg,http://www.imdb.com/title/tt2488496/?ref_=nv_sr_1,0,317635827,972279348,2136944047,1819308220,8.1,8.2,0,0,0,0,0,0,0
4,5,2015-11-06,Spectre,biggest_budgets,Biggest budgets,"Action,Adventure,Thriller",Action,spectre.jpg,http://www.imdb.com/title/tt2379713/?ref_=nv_sr_1,0,310343564,206972441,909948973,599605409,6.8,6.4,0,0,0,0,0,0,0
9,6,2007-05-04,Spider-Man 3,biggest_budgets,Biggest budgets,"Action,Adventure,Romance",Action,spiderman3.jpg,http://www.imdb.com/title/tt0413300/?ref_=nv_sr_3,0,304612679,397330997,1056534000,751921321,6.2,6.2,0,0,1,0,0,1,0
37,7,1997-12-19,Titanic,biggest_budgets,Biggest budgets,"Drama, Romance",Drama,titanic.jpg,http://www.rottentomatoes.com/m/titanic/,0,304425294,1002582548,3360270249,3055844955,7.8,8,0,0,0,0,0,0,0
5,8,2012-07-20,The Dark Knight Rises,biggest_budgets,Biggest budgets,"Action,Thriller",Action,thedarkknightrises.jpg,http://www.imdb.com/title/tt1345836/?ref_=nv_sr_1,0,294703388,480247675,1162137733,867434345,8.4,8,0,0,0,0,0,0,0
7,9,2012-03-09,John Carter,biggest_budgets,Biggest budgets,"Action,Adventure,Sci-Fi",Action,johncarter.jpg,http://www.imdb.com/title/tt0401729/?ref_=nv_sr_1,0,294333390,78194941,302658316,8324926,6.6,5.7,0,0,0,0,0,0,0
8,10,2010-11-24,Tangled,biggest_budgets,Biggest budgets,"Animation,Adventure,Comedy",Animation,tangled.jpg,http://www.imdb.com/title/tt0398286/?ref_=nv_sr_1,0,291746183,225342435,658204002,366457820,7.8,7.5,0,0,0,0,0,0,0
6,11,2013-07-02,The Lone Ranger,biggest_budgets,Biggest budgets,"Action,Adventure,Western",Action,theloneranger.jpg,http://www.imdb.com/title/tt1210819/?ref_=nv_sr_1,0,289036306,93860194,273272913,-15763394,6.5,4.8,0,0,1,1,0,1,0
14,12,2009-07-15,Harry Potter and the Half-Blood Prince,biggest_budgets,Biggest budgets,"Adventure,Family,Fantasy",Adventure,harrypotterandthehalfbloodprince.jpg,http://www.imdb.com/title/tt0417741/?ref_=nv_sr_1,0,285021894,344259930,1066077295,781055400,7.5,7.1,0,0,0,0,0,0,0
94,13,1995-07-28,Waterworld,biggest_budgets,Biggest budgets,"Action, Adventure, Sci-Fi",Action,waterworld.jpg,http://www.rottentomatoes.com/m/waterworld/,0,281743115,142072942,425426018,143682903,6.1,5.2,0,0,1,1,0,1,0
19,14,2006-06-28,Superman Returns,biggest_budgets,Biggest budgets,"Action,Adventure,Sci-Fi",Action,supermanreturns.jpg,http://www.imdb.com/title/tt0348150/?ref_=nv_sr_1,0,280731434,242155063,452661366,171929931,6.1,7,0,0,1,0,0,1,0
17,15,2011-05-20,Pirates of the Caribbean: On Stranger Tides,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,piratesofthecaribbeanonstrangertides.jpg,http://www.imdb.com/title/tt1298650/?ref_=nv_sr_3,0,271635083,261925623,1136155976,864520892,6.6,5,0,0,0,1,0,1,0
23,16,2006-07-07,Pirates of the Caribbean: Dead Man's Chest,biggest_budgets,Biggest budgets,"Action,Adventure,Fantasy",Action,piratesofthecaribbeandeadmanschest.jpg,http://www.imdb.com/title/tt0383574/?ref_=nv_sr_5,0,271458354,510722727,1286369729,1014911376,7.3,6,0,0,0,0,0,0,0
13,17,2012-12-14,The Hobbit: An Unexpected Journey,biggest_budgets,Biggest budgets,"Adventure,Fantasy",Adventure,thehobbitanunexpectedjourney.jpg,http://www.imdb.com/title/tt0903624/?ref_=nv_sr_1,0,267332242,324010492,1087511374,820179133,7.9,6.5,0,0,0,0,0,0,0
21,18,2008-11-14,Quantum of Solace,biggest_budgets,Biggest budgets,"Action,Adventure",Action,quantumofsolace.jpg,http://www.imdb.com/title/tt0830515/?ref_=nv_sr_1,0,265832035,195754581,683872648,418040613,6.6,6.1,0,0,0,0,0,0,0
15,19,2013-12-13,The Hobbit: The Desolation of Smaug,biggest_budgets,Biggest budgets,"Adventure,Fantasy",Adventure,thehobbitthedesolationofsmaug.jpg,http://www.imdb.com/title/tt1170358/?ref_=nv_sr_1,0,263377015,272191564,1011754223,748377208,7.9,6.8,0,0,0,0,0,0,0
